codigo,nome,valor atual,dividend yield,valorizacao_mes_atual,valorizacao_ultmos_12meses,pl,pvp,Div_liquida_EBITDA
BRAP3,BRADESPAR,20.49,14.54,-0.97,43.19,7.13,0.88,0.0,2026-02-13
BBDC3,BRADESCO,18.14,7.3,-2.05,72.93,8.9,1.09,0.0,2026-02-13
CMIG4,CEMIG,11.79,14.06,1.64,15.82,8.36,1.17,3.22,2026-02-13
JHSF3,JHSF,9.65,4.65,-1.33,153.28,5.1,1.05,1.86,2026-02-13
GRND3,GRENDENE,4.78,35.63,-4.59,-7.54,5.94,1.06,-1.95,2026-02-13
ITSA4,ITAUSA,14.6,12.12,5.34,60.79,10.29,1.77,0.23,2026-02-13
ISAE4,ISA ENERGIA BRASIL,29.6,6.63,3.5,30.0,6.67,0.93,3.79,2026-02-13
LIGT3,LIGHT,4.81,0.0,-6.78,18.18,0.78,0.32,3.79,2026-02-13
SAPR4,SANEPAR,8.73,4.57,0.81,66.6,6.19,1.1,0.49,2026-02-13
BBAS3,BANCO BRASIL,25.43,4.65,0.51,-6.4,9.16,0.8,0.0,2026-02-13
CMIN3,CSN MINERAÇÃO S.A.,5.46,8.86,-8.85,6.43,12.12,2.97,0.0,2026-02-13
